Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Library Name,BioSampleModel,geo_loc_name,lat_lon,HOST,host_sex,env_broad_scale,env_local_scale,env_medium,Host_Age,host_subject_id,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),project_name,host_taxid,scientific_name,samp_mat_process,Host_Diet,INSDC_center_name,INSDC_status,Sample_name,Submitter_Id,external_id,INSDC_last_update,host_body_product,isolation_source,host_tissue_sampled,isolate,host_life_stage,host_body_site,broad-scale_environmental_context,environmental_medium,local_environmental_context,Sequencing_method,ENA_first_public,host_body_habitat,host_common_name,environment_(biome),environment_(feature),environment_(material),host-associated_environmental_package,INSDC_first_public,investigation_type,organism,host_phenotype,source_material_id,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,subspecific_genetic_lineage,env_biome,env_feature,env_material,perturbation,Description,samp_store_dur,samp_store_temp,samp_vol_we_dna_ext,sample_title,seq_methods,Negative_control_1,Negative_control_2,positive_control,steer_id,replicate,samp_collect_device,experiment,JMF_sample_ID,User_sample_ID,Time_point_h,treatment,SAMPLING_TIME,Depth,Environment_Feature,Environment_material,altitude,chem_administration,samp_size,strain,temp,Cow,MiCowTrTiSeq,TimePostFeeding,treat,rel_to_oxygen,elev,Host_disease,gravidity,host_blood_press_diast,host_blood_press_syst,host_body_temp,host_color,host_dry_mass,host_family_relationship,host_genotype,host_growth_cond,host_height,host_infra_specific_name,host_infra_specific_rank,host_last_meal,host_length,host_shape,host_substrate,host_tot_mass,misc_param,organism_count,oxy_stat_samp,samp_salinity,samp_store_loc,Cultivar,Ecotype,common_name,nucleic_acid_extraction,ENA_last_update,INSDC_center_alias,age,BREED,collected_by
SRR094166,WGS,250,2441318250,PRJNA60251,SAMN00149621,1686989270,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:26:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094403,WGS,250,2383418750,PRJNA60251,SAMN00149621,1651373228,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:37:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094405,WGS,250,2402788000,PRJNA60251,SAMN00149621,1659659940,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:37:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094415,WGS,250,2833539000,PRJNA60251,SAMN00149621,1966570067,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:38:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094416,WGS,250,2388402250,PRJNA60251,SAMN00149621,1655723310,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:37:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094417,WGS,250,2480312750,PRJNA60251,SAMN00149621,1708952104,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:37:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094418,WGS,250,2357514750,PRJNA60251,SAMN00149621,1609350198,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034809,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:37:00Z,2,,,,ins_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094419,WGS,72,4482366120,PRJNA60251,SAMN00149621,1821823679,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034810,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-03-26T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:41:00Z,3,,,,ins_3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094424,WGS,152,27174344768,PRJNA60251,SAMN00149621,13280726239,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034810,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-02-08T00:00:00Z,fiber_attached,SRP004875,2014-05-29T18:42:00Z,2,,,,ins_3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR094427,WGS,72,3987411192,PRJNA60251,SAMN00149621,1534889680,DOE JGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX034812,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,bovine gut metagenome,ILLUMINA,2011-04-04T00:00:00Z,fiber_attached,SRP004875,2014-05-29T17:40:00Z,3,,,,ins_5k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
